&title=[逆]おちゃめ機能
&artist=ゴジマジP
&first=0
&wholebpm=150
&shortid=100101
&genreid=107
&genre=宴会場
&versionid=21
&version=BUDDiES
&demo_seek=14.3
&demo_len=12.7
&clock_count=4
&chartconverter=MaiChartManager v26.3
&ChartConvertTool=MuConvert
&ChartConvertToolVersion=0.4.0-rc.7+47834d4

&lv_2=13.0
&des_2=
&inote_2=(150){1},
{8}3$/6$,3?>6[0.2##0.8],,,,,,,
3$/6$,6?<3[0.2##0.8],,,,,,,
3$/6$,3?>6[0.2##0.8],,,,,,,
{16}1/8,,,2/7,,,3/6,,,,,,,,,,
{8}2$/7$,2?-7[0.2##0.2],,,3$/6$,6?-3[0.2##0.2],,,
2$/7$,2?-7[0.2##0.2],,,3$/6$,6?-3[0.2##0.2],,,
1$/4$,1?-4[0.2##0.2],,,5$/8$,8?-5[0.2##0.2],,,
1$/5$,5?-1[0.2##0.2],,,4$/8$,4?-8[0.2##0.2],,,
2$/7$,7?-2[0.2##0.2],,,3$/6$,3?-6[0.2##0.2],,,
2$/7$,7?-2[0.2##0.2],,,3$/6$,3?-6[0.2##0.2],,,
5$/8$,8?-5[0.2##0.2],,,1$/4$,1?-4[0.2##0.2],,,
4$/8$,4?-8[0.2##0.2],,,1$/5$,5?-1[0.2##0.2],,,
{1}2b/7b,,
{8}1$/6$,1?-6[0.2##0.2],,,2$/5$,5?-2[0.2##0.2],,,
1$/6$,1?-6[0.2##0.2],,,2$/5$,5?-2[0.2##0.2],,,
3$/8$,8?-3[0.2##0.2],,,4$/7$,4?-7[0.2##0.2],,,
3$/8$,8?-3[0.2##0.2],,,4$/7$,4?-7[0.2##0.2],,,
2$/7$,7?-2[0.2##0.2],,,3$/6$,6?-3[0.2##0.2],,,
2$/7$,7?>2[0.2##0.2],,,3$/6$,6?>3[0.2##0.2],,,
3$/8$,3?-8[0.2##0.2],,,4$/7$,4?-7[0.2##0.2],,,
1$/6$,1?-6[0.2##0.2],1$/4$,1?-4[0.2##0.2],1$/5$,1?-5[0.2##0.2],,,
3$/8$,8?-3[0.2##0.2],,,4$/7$,4?-7[0.2##0.2],,,
3$/8$,8?-3[0.2##0.2],,,4$/7$,4?-7[0.2##0.2],,,
1$/6$,1?-6[0.2##0.2],,,2$/5$,5?-2[0.2##0.2],,,
1$/6$,1?-6[0.2##0.2],,,2$/5$,5?-2[0.2##0.2],,,
3$/6$,3?q6[0.2##0.8],,,,,,,
3$/6$,3?q6[0.2##0.8],,,,,,,
1$/6$,6?-1[0.2##0.2],,,2$/5$,5?-2[0.2##0.2],,,
3$/8$,8?-3[0.2##0.2],5$/8$,8?-5[0.2##0.2],4$/8$,8?-4[0.2##0.2],,,
2$/5$,2?-5[0.2##0.2],2$/7$,7?-2[0.2##0.2],,,,,
4$/7$,7?-4[0.2##0.2],2$/7$,2?-7[0.2##0.2],,,,,
1$/4$,1?-4[0.2##0.2],1$/6$,6?-1[0.2##0.2],,,,,
5$/8$,8?-5[0.2##0.2],3$/8$,3?-8[0.2##0.2],,,,,
2$/5$,2?>5[0.2##0.2],2$/7$,7?>2[0.2##0.2],,,,,
4$/7$,7?<4[0.2##0.2],2$/7$,2?<7[0.2##0.2],,,,,
2$/5$,2?>5[0.2##0.2],2$/7$,7?>2[0.2##0.2],,,,,
4$/8$,4?w8[0.2##0.4],,,,,,,
2$/7$,7?>2[0.2##0.2],4,,3$/6$,3?<6[0.2##0.2],8,,
2$/7$,7?>2[0.2##0.2],5,,3$/6$,3?<6[0.2##0.2],1,,
5$/8$,8?<5[0.2##0.2],3,,1$/4$,1?>4[0.2##0.2],6,,
4$/8$,4?-8[0.2##0.2],5,,1$/5$,5?-1[0.2##0.2],8,,
2$/7$,2?<7[0.2##0.2],4,,3$/6$,6?>3[0.2##0.2],1,,
2$/7$,2?<7[0.2##0.2],5,,3$/6$,6?>3[0.2##0.2],8,,
1$/4$,1?>4[0.2##0.2],7,,5$/8$,8?<5[0.2##0.2],2,,
1$/5$,5?-1[0.2##0.2],8,,4$/8$,4?-8[0.2##0.2],5,,
2b/7b,,,,1$/6$,6?p1[0.2##0.2],8,,
3$/8$,,1/3?q8[0##0.2],,1$/6$,6?p1[0.2##0.2],8,,
7$/8$,7?<8[0.2##0.8],,,,,,,
1$/2$,1?<2[0.2##0.8],,,,,,,
4$/8$,4?z8[0.2##0.6],3,,,,,,
1$/5$,1?z5[0.2##0.6],4,,,,,,
5$/8$,5?<8[0.2##0.2],1,,1$/4$,4?>1[0.2##0.2],8,,
5$/8$,5?<8[0.2##0.2],1,,1$/4$,1?>4[0.2##0.2],8,,
3$/7$,7?-3[0.2##0.2],1,,2$/6$,2?-6[0.2##0.2],8,,
3$/7$,3?-7[0.2##0.2],1,,1$/5$,5?-1[0.2##0.2],3,
E

