&title=[宴]DRAGONLADY
&artist=Nankumo/CUBE3
&first=0
&wholebpm=150
&shortid=100339
&genreid=107
&genre=宴会場
&versionid=21
&version=BUDDiES
&demo_seek=14.2
&demo_len=12.9
&clock_count=4
&chartconverter=MaiChartManager v26.3
&ChartConvertTool=MuConvert
&ChartConvertToolVersion=0.4.0-rc.7+47834d4

&lv_2=14.6
&des_2=
&inote_2=(150){1},
{16}1b,,,,8,,,1,,,,,7,,,2,
,,,,8-4[8:1],,,1,,,,,7,,,2,
,,,,8,,,1,,,,,7,,,2,
,,,,8,,,1,8,8,8,8,2,2,2,2,
8,,2/7,,1,1,1,1,1,,2/7,,1,1,1,1,
1,,2/7,,1,1,1,1,1,,2/7,,1,1,1,1,
1,,3/6,,4,4,4,4,4,,3/6,,4,4,4,4,
4,,3/6,,4,4,4,4/5,,,3/6,,,2/7,,1/8,
2/7,,5,5,5,,3,3,3,,7,7,7,,1,1,
1,,8,8,8<5[16:1],,8,8,8,,1,1,1,,2,2,
2,,5,5,5,,4,4,4,,5,5,5,,3,3,
3,,7,7,7,,1,1,1>4[8:1],1,1,1,,,,,
1/8,,2,2,5,5,5,5,5,,2,2,5,5,5,5,
5,,2,2,5<8[8:1],5,5,5,5,,2,2,5,5,5,5,
5,,6,6,1,1,1,1,1,,3,3,8,8,8,8,
8,,6,6,1,1,1,1,1s5[16:3],,,1,,,,,
2,2,,8,8,7,7,7,7,7,7,7,7,7b,,,
8b,,7,7,7,8,8,8,2,,2,2,2,,6,6,
6b,,6b,,5,5,5,5,3,3,3,3,3,3b,,,
1,,,4,4,5,5,5,5-8[16:1],5,5,5,,,,,
1,1,1,1,1,1,,7,7,7,7,7,7,7b,,,
1b,,8,8,8,7,7,7,6,6,,,2-6[16:1],,2,2,
2-7[16:1],,,,,,,,2-7[16:1],2,2,2,,,,,
1,,,2,,8,,8,8,8,8,8,1,1,1,1,
6,6,,4,,2,,7,7-4[16:1],7,7,7,,,,,
6,6,,4,,2,,7,7-3[16:1],7,7,7,,,,,
7,7,,5,,3,,7,7-2[16:1],7,7,7,,,,,
7,7,,5,,3,,7,7-3[16:1],7,7,7,,,,,
6,6,,4,,2,,7,7-4[16:1],7,7,7,,,,,
6,6,,4,,2,,7,7-3[16:1],7,7,7,,,,,
6,6,,7,,2,,7,7,7,,8,,2,,8,
8,8,,7,7,7,,6,6,,6,,5-8[16:1],,5,5,
,,,,5,5,5,5,5,5,,4,4,4,,8,
8,8,,1,1,1,,8,8,8,,1,1,1,,5,
5,5,,4,4,4,,5,5,5,,4,4,4,,8,
8,8,,1,1,1,,8,8,8,8,8,8,8,8,8,
1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,
8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,
1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,
8,8,7,7,6,6,5,5,4,4,3,3,2,2,1,1,
8b,,,,2,2,,1/7,7b,,,,2,2,,1/7,
7b,,,,7,7,,2/8,2b,,,,7,7,,2/8,
2b,,,,7,7,,2/7,2b/7,,,,7,7,,1/8,
{1},,
{8}3/4,5,,,5/6,4,,,
{16}1/8,,1,,7,,2/7,,2/7,2/7,2/7,2/7,2/7,2/7,2/7,2/7,
2/7,,2/7,,4,4,4,4,5,,2/7,,5,5,5,5,
4,,2/7,,4,4,4,4,5,,2/7,,5,5,5,5,
4,,2/7,,4,4,4,4,5,,2/7,,5,5,5,5,
3,,2/7,,7,7,8,8,1>4[8:1],1,1,1,,,,,
1/8,,2,2,5,5,5,5,4,,2,2,5,5,5,5,
4,,2,2,5<8[8:1],5,5,5,4,4,4,4,5,5,5,5,
4,,3,3,8,8,8,8,1,,3,3,8,8,8,8,
1,1,1,1,8,8,8,8,8/1s5[16:3],,,1/8,
E

